question,document
"I asked an assistant to generate a Kestra GCS upload step and it used bucket and name — is that wrong, and what should the YAML look like instead?",93a3e8b98c
"For the BigQuery LoadFromGcs plugin in Kestra, why did the AI split the destination into projectId, dataset, and table, and what is the correct property to use?",93a3e8b98c
What’s the safest way to verify AI-generated Kestra flow YAML so I’m not using fake plugin properties from the wrong version?,93a3e8b98c
"Should I trust a generic AI to write Kestra plugin configs, or do I need to check the official docs or Copilot every time?",93a3e8b98c
Why do people track token usage in Kestra AI workflows?,a4adc70f41
How does monitoring tokens help control LLM costs in a flow?,a4adc70f41
What’s the point of checking prompt and response token counts?,a4adc70f41
How can token stats prevent a Kestra loop from getting too expensive?,a4adc70f41
Where do you usually log or view token usage after an AI task runs?,a4adc70f41
Why does Docker Desktop say the path /tmp/... is not shared when I start Kestra?,dd8b4c9fda
How can I make Docker allow mounting /tmp or /tmp/kestra-wd on my machine?,dd8b4c9fda
What setting in Docker Desktop do I need to change to fix the mounts denied error?,dd8b4c9fda
"After I add /tmp to Docker Desktop file sharing, what should I do next to bring Kestra up again?",dd8b4c9fda
Where in Docker Desktop do I enable access for the host folder that Kestra is trying to mount?,dd8b4c9fda
"For the Module 3 Kestra homework, what am I supposed to put in the public repo if most of the work was done in the Kestra UI?",f29f622684
"Do I need to upload the Kestra flow YAML files for homework submission, or is a README enough?",f29f622684
"If I changed any scripts that my Kestra flows use, should those go in the repo too?",f29f622684
Where should I place the Kestra homework files inside my repository before submitting the link?,f29f622684
What exactly goes into the submission form for Module 3—do I submit the answers there or only the repo URL?,f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output as JSON in the evaluation notebook?,a3c7e1b4f9
How do I make the model return clean JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What prompt wording should I use so the LLM gives me exactly a JSON object with a `questions` list?,a3c7e1b4f9
Is there a way to force `json.loads()` to work reliably with OpenAI chat completions in this ground-truth generation step?,a3c7e1b4f9
"Do Gemini, Groq, or other providers have a setting like OpenAI's JSON mode for this kind of output?",a3c7e1b4f9
Why does my Jupyter kernel crash when I try embedding the ground-truth set?,b8f2d6a30c
Is there a smaller embedding model I can use in Module 4 if the notebook runs out of RAM?,b8f2d6a30c
"Can I run the embedding step outside the notebook to avoid memory issues, and then load the vectors back in?",b8f2d6a30c
Does changing to a different embedder affect my evaluation metrics like hit-rate or MRR?,b8f2d6a30c
What can I do on Codespaces if the default machine type doesn’t have enough memory for embeddings?,b8f2d6a30c
Why am I still hitting Gemini limits even after adding a sleep between calls?,c1e9f4b820
What can I use instead of Gemini if I want to generate the ground-truth set without getting blocked so fast?,c1e9f4b820
"Is spending a few dollars on OpenAI worth it for this evaluation step, and which model should I pick?",c1e9f4b820
How can I avoid blowing through the daily quota when running a big tqdm loop?,c1e9f4b820
What's the best way to handle rate-limit errors in a thread pool so I don't lose all the progress?,c1e9f4b820
How do I fix the Windows WinError 126 on torch fbgemm.dll?,15e931476c
What should I install if Python says it can't load fbgemm.dll on Windows?,15e931476c
"Is Visual Studio Code enough, or do I need Visual Studio to solve this torch DLL error?",15e931476c
"Why am I getting ""The specified module could not be found"" for fbgemm.dll in Python on Windows?",15e931476c
What are the usual fixes for the PyTorch fbgemm.dll missing dependency error on Windows?,15e931476c
"I'm getting psycopg2 OperationalError saying it can't translate host name ""postgres"" when I run `python prep.py`. What should I change to fix it?",4b65d5542d
"Why does `prep.py` fail with `could not translate host name ""postgres"" to address`, and what host value should I use instead?",4b65d5542d
How do I update my `.env` file so the Postgres connection works and stops throwing a host lookup error?,4b65d5542d
"My setup says `POSTGRES_HOST=postgres`, but the script crashes with a DNS/host error. What is the correct setting?",4b65d5542d
When I run the prep script I get `OperationalError` from psycopg2 about the `postgres` host. What should `POSTGRES_HOST` be set to?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"Why does my Explanation column get truncated in the offline-rag-evaluation notebook, and how can I see the whole thing?",641aedbbf5
What setting do I need in Pandas to display long judge LLM outputs without the ...?,641aedbbf5
Is there a quick way to remove the 50-character limit for column text in Pandas?,641aedbbf5
How can I view the complete content of a long string column in a Pandas table?,641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each item in a Pandas Series with NumPy?,5039707c1a
How do I create a new DataFrame column with normalized vectors from an existing one?,5039707c1a
Is there a quick lambda function for normalizing vectors in Pandas?,5039707c1a
How can I apply vector normalization to every row in one column of a DataFrame?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How can I calculate a percentile value from a DataFrame column in Pandas?,b4c8ac5a0c
Is there a simple function to find the quantile of a Pandas column?,b4c8ac5a0c
How do I use Pandas to return the 75% percentile for one column?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, including the ones that are still running?",66ccbb7da0
What command can I use to remove all Docker images at once from my machine?,66ccbb7da0
How can I wipe out all Docker volumes using a single terminal command?,66ccbb7da0
Is there a quick way to force-remove every container and image in Docker without doing them one by one?,66ccbb7da0
"What are the terminal commands to clean up all Docker containers, images, and volumes completely?",66ccbb7da0
"How can I make a Streamlit app let each submission get only one feedback vote, like +1 or -1?",2e729f1271
Why does `st.session.submitted` keep getting set back to True in my app even after a feedback button is clicked?,2e729f1271
What’s the fix for the session state bug where my feedback buttons should stay disabled after asking a question?,2e729f1271
I’m using `st.session.submitted` in Streamlit and it gets reassigned unexpectedly — how do I stop that?,2e729f1271
Is there a known solution for Streamlit session attributes being reassigned somewhere after pressing a feedback button?,2e729f1271
"Why does docker-compose fail with `exec: ""streamlit"": executable file not found in $PATH` when my Streamlit app works locally?",e8df9f0d12
What do I need to add to my docker-compose setup so Streamlit can actually start in the container?,e8df9f0d12
Do I have to create a Dockerfile first before running a Streamlit app with docker-compose?,e8df9f0d12
"After changing my compose config for Streamlit, what command should I run to rebuild everything and try again?",e8df9f0d12
My app runs outside Docker but not in docker-compose — what’s the usual fix for the `streamlit` not found error?,e8df9f0d12
"Can I do the capstone with a partner, or does it have to be solo?",0fab61eca2
"If I work with other students on the same idea, can we still submit separate capstone projects?",0fab61eca2
Is a shared project allowed as long as each person has their own part and repo?,0fab61eca2
What happens if the project can’t be checked separately for each student?,0fab61eca2
"Does the capstone need to be an individual submission, or can it be a team project?",0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just to get more practice, and if so does it need a different topic?",d5fc98925d
What happens if I miss the first submission deadline but still want to submit in the second window?,d5fc98925d
"Is the competition itself considered the capstone project, or is capstone something separate?",e892d44e42
Can we do the capstone as a team if we join the competition together?,e892d44e42
"If I take part in the math Kaggle LLM competition, does that replace the individual capstone requirement?",e892d44e42
"Are teams allowed for the capstone, or only for the competition part?",e892d44e42
Can I join the competition with others but still need to submit my own capstone individually?,e892d44e42
"How will my capstone project be graded, and who reviews it?",9a2e2d2008
Do I need to evaluate other students' capstone projects too?,9a2e2d2008
What happens if I don't complete the peer review part of the capstone?,9a2e2d2008
How is the final score for the capstone calculated?,9a2e2d2008
Which criteria should the peer reviewers use when scoring the project?,9a2e2d2008
"When do we get the projects to review and grade, and what format will they be shared in?",eae0fb50aa
"After the deadline, how are the project reviews assigned to each participant?",eae0fb50aa
"Will everyone receive the same number of projects for grading, and if so, how many?",eae0fb50aa
Do we get the review assignments before or after the submission deadline?,eae0fb50aa
How will the project grading list be sent out once submissions close?,eae0fb50aa
"I already turned in my capstone project, but why don’t I see anything to review yet?",a8a7fef016
"After the submission deadline, do I get to pick which projects I evaluate or is it assigned somehow?",a8a7fef016
"Can I start reviewing other people’s projects before the review list is out, or do I need to wait?",a8a7fef016
Why is the review page empty even though I’ve submitted my project already?,a8a7fef016
"Once submissions are closed, how does the project evaluation process work for students?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with some datasets and ideas I can use for the project?,e76a70cde3
I’m stuck on the capstone — where do I find suggestions and data sources?,e76a70cde3
"Do you have any link with project ideas, datasets, and guidelines for the capstone?",e76a70cde3
What’s the best place to check for possible datasets and ideas for the LLM Zoomcamp project?,e76a70cde3
"Do I have to use Airflow, Mage, or Kestra in the capstone project, or is plain Python fine?",d4f7c08ea1
Can I get full points on the ingestion pipeline part without any orchestration tool?,d4f7c08ea1
"If I build the data ingestion and indexing in a Jupyter notebook, how many points does that count for?",d4f7c08ea1
"Should I add an orchestrator just to satisfy the capstone requirements, or only when it makes sense for the project?",d4f7c08ea1
"When would it actually be useful to use an orchestration tool in the capstone, like for a daily-updating feed?",d4f7c08ea1
How can I test a recommender-style RAG when I don't have clear ground-truth answers?,9b0e2d6a47
What’s a good way to create synthetic eval data for item retrieval in a RAG project?,9b0e2d6a47
"If several results are acceptable, which metric works better than just hit rate?",9b0e2d6a47
Can I use an LLM as a judge to score my RAG outputs end to end?,9b0e2d6a47
How do I measure ranking quality when my RAG is more like recommendations than exact Q&A?,9b0e2d6a47
"For a really large PDF corpus, what chunking approach should I start with before trying anything fancy?",6f2a8b3d10
"Should I ask an LLM to split documents into sections, or is fixed-size chunking better at the beginning?",6f2a8b3d10
"Is it worth adding summaries to chunks for retrieval, and how would that help?",6f2a8b3d10
When does hybrid search make more sense than only semantic search for long documents?,6f2a8b3d10
What tools are good for turning PDFs into clean markdown before I chunk them?,6f2a8b3d10
What do you mean by reproducibility for the capstone project?,e5d8a2c761
Do I need to put my API keys or hosted-service credentials in the repo so reviewers can run it?,e5d8a2c761
How should I let a reviewer rebuild the search index from scratch on their own machine?,e5d8a2c761
"Should I include a .env.example file, and what should go in it?",e5d8a2c761
What model and dependency setup should I use so the project is easy and cheap to run?,e5d8a2c761
"Can I do the homework and capstone in a language other than Python, like JavaScript, Go, or Rust?",ea815eb858
"Is it okay to submit the project with a non-Python stack, or do you expect everything to be in Python?",ea815eb858
"If I use something besides Python, what should I include in the README so the reviewer can run it?",ea815eb858
"Do I need to add install and run instructions for Windows, macOS, and Linux if my project is not in Python?",ea815eb858
What kind of commands and setup details should I show if I build the assignment in Go instead of Python?,ea815eb858
Where can I see past LLM Zoomcamp capstone projects or examples?,930286278d
Is there a page with submitted LLM Zoomcamp projects from 2024 and 2025?,930286278d
I want to check old capstone repos for this course — where are they listed?,930286278d
Do you have links to previous LLM Zoomcamp project submissions?,930286278d
How can I look at earlier LLM Zoomcamp projects to get a sense of the expected quality?,930286278d
"Do I need to reserve my capstone project idea before I start, or can I just begin working on it?",897a350476
"Is there any need to announce my project topic somewhere first, or is that optional?",897a350476
Can I ask for feedback on my project idea in Slack before I start building it?,897a350476
"Is it okay if my capstone topic is similar to a previous project, as long as I do my own implementation?",897a350476
Where can I look at past capstone projects to get a sense of the right scope for mine?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use a CLI or notebook?",7318a90b14
Are there any rules about what kind of interface the project must have?,7318a90b14
Could I make my project as a Slack app or some other chat interface?,7318a90b14
"If the course doesn’t cover building the interface, is it still okay to use one I make myself?",7318a90b14
"What’s a good tool to pull text out of PDFs for a RAG app, especially if I don’t want to do it all manually?",d8b28c47a0
"If my documents are scanned images and not normal PDFs with selectable text, what should I use to get the content out?",d8b28c47a0
Is there a recommended library for turning PDFs into Markdown or JSON for retrieval projects?,d8b28c47a0
What do people usually use in the course for OCR when the PDF has no text layer at all?,d8b28c47a0
"Should I just pick any PDF extraction tool for RAG, or is there one option that works best on messy documents?",d8b28c47a0
"Can I use the workshop stuff in my own capstone project, or is it only for practice?",d850a0e7ea
Is it okay to take the dlt workshop content and use it in another Zoomcamp project too?,d850a0e7ea
"Since dlt is open source, does that mean I can reuse the materials in my own projects without issues?",d850a0e7ea
Am I allowed to share or directly apply the workshop code/content in my projects?,d850a0e7ea
Could I use this workshop material for something like the MLOps Zoomcamp project?,d850a0e7ea
How do I create a new dlt project for loading from cloud files?,6bceeebf04
What command should I run to start a dlt project with filesystem and DuckDB?,6bceeebf04
"If I'm beginning a dlt ingestion workflow, what's the init command I should use?",6bceeebf04
How do I set up dlt to load data from a filesystem source into DuckDB?,6bceeebf04
Where should I look for the setup steps after running the dlt init command?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"What should I check if `db.create_table(..., data)` says the table is missing in my dlt pipeline?",0407213397
"I renamed my table to `notion_pages___homework`, but opening it still fails — what am I likely missing?",0407213397
Is there somewhere else besides `db.open_table()` where I need to change `employee_handbook` to `homework`?,0407213397
How can I fix the issue where my pipeline still behaves like the old `employee_handbook` table exists?,0407213397
Why am I getting FileNotFoundError saying the table notion_pages___homework does not exist when I run main()?,e95bfafc0e
"In the dlt workshop, what table name should I open on line 3 if db.create_table keeps being suggested?",e95bfafc0e
"My code crashes with ""Table notion_pages___homework does not exist"" — which db.open_table call should I use?",e95bfafc0e
Where should I change the table reference so the Notion homework table opens correctly?,e95bfafc0e
"If main() fails because the table is missing, what is the right line 3 code to open the homework table?",e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all the tables in my db?,e394e6f738
What method do I use to see the table names in the database?,e394e6f738
How do I quickly find out which tables are available?,e394e6f738
Can I get a list of every table in the database somehow?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"Is support for ClickHouse or StarRocks planned in dlt, or is it still missing?",cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
"Why am I getting a 401 Unauthorized from the Notion API in the notebook, and how do I fix it?",0dfba07ace
The notebook says it doesn’t have secret access — is that just an auth problem with Notion?,0dfba07ace
What should I check first when api.notion.com/v1/search returns Unauthorized?,0dfba07ace
Could this be because my Notion token expired or has the wrong permissions?,0dfba07ace
How do I make sure the notebook is using the right Notion API key and endpoint?,0dfba07ace
How do I install the right requests version for lancedb if pip keeps giving me 2.28?,4b30b918bc
What command can I use to pull requests 2.32.3 directly from GitHub instead of the older pip version?,4b30b918bc
"Why am I getting a 401 Client Error when using the key, and could it mean the key is wrong or missing access?",4b30b918bc
Is there a way to force-install requests from the source archive so the version matches what lancedb needs?,4b30b918bc
What should I run in bash if I need requests v2.32.3 exactly for this setup?,4b30b918bc
