question,answer_llm,answer_orig,document
Should I learn the basics of prompting and retrieval before touching LangChain?,"Yes — the course is designed to teach you the core pieces first: prompting, retrieval, indexing, and evaluation, before using LangChain.

A good way to think about it is: learn the basics first, like HTML/CSS/JavaScript, before moving to a framework like React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Is LangChain just a convenience layer over the stuff we build ourselves here?,"Yes — in this course, LangChain is essentially treated as a framework/convenience layer that automates pieces you first build yourself, like prompting, retrieval, indexing, and evaluation.

The idea is to understand the core mechanics before using a framework.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Why does the course start with raw indexing, prompting, and evaluation instead of an LLM framework?","The course starts with raw indexing, prompting, and evaluation so you learn the core pieces first, before using an LLM framework.

The idea is similar to learning HTML, CSS, and JavaScript before React or Angular: frameworks are easier to use well once you understand what they automate.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why do I get an OpenAI API error saying insufficient credits when I run responses.create?,"You’re getting that error because your OpenAI API account doesn’t have enough quota/credits to make the request.

There’s no free usage of the OpenAI API, so you need to:

1. Add credits / enable pay-as-you-go in your OpenAI account.
2. Make sure you’re using a model available to your account in `responses.create(...)`.
3. If needed, create a new API key after adding credits and update it locally.

If you still see the issue after that, I don't know.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
What does it mean if responses.create fails with an Insufficient credits message?,It means your OpenAI account or key does not have enough credits/quota to complete the request.,"You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
How can I fix the OpenAI API error about not having enough credits for responses.create?,"The error usually means your OpenAI account has no remaining API quota/credits.

Fix:
1. Add credits to your OpenAI account here: https://platform.openai.com/settings/organization/billing/overview  
   - Minimum is typically $5.
2. Make sure you’re using a model available on your account in `responses.create(model='gpt-4o', ...)`.
3. If needed, create a new API key after adding credits and update it locally.

After that, rerun your command.

If you still see the error, it’s likely still a quota/billing issue.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is there a reason the OpenAI responses.create command stops with an insufficient credits error?,"Yes. According to the context, that error usually means your OpenAI account has **insufficient API credits/quota**. There’s no free usage of the OpenAI API, so `responses.create` can stop with an error like:

```text
OpenAI API Error: Insufficient credits
```

To fix it, add billing credits to your OpenAI account, then try again. You may also need to create a new API key after adding credits.

","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
What should I check in my OpenAI account if responses.create gives me an API credits error?,"Check your OpenAI API account’s **billing/credits/quota**:

- Make sure **pay-as-you-go billing** is enabled
- Add at least **$5 in credits**
- Confirm your account has **sufficient quota** for API usage
- If needed, **recreate your API key** after adding credits

If it still fails, also verify that your `responses.create(model=...)` is using a model available to your account.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"Why am I getting RateLimitError 429 from OpenAI when I run the RAG code, and how do I fix it?","You’re getting `RateLimitError: 429` because, in this course context, it often means **insufficient quota/credits** on your OpenAI account — not just “too many requests.”

### How to fix it
1. **Add billing credits** to your OpenAI account  
   - Go to: https://platform.openai.com/settings/organization/billing/overview  
   - Add at least **$5**.

2. **Use a model available to your account**  
   In `responses.create(model='gpt-4o', ...)`, make sure the model is one you actually have access to.

3. **Regenerate your API key** after adding credits  
   - Then update the key in your local environment.

### If you’re hitting actual rate limits during the notebook
- Use retries/backoff:
  ```python
  from openai import OpenAI
  client = OpenAI(max_retries=5)
  ```
- Reduce concurrency
- Cache embeddings and responses
- Batch requests where possible
- Use a cheaper model like `gpt-4o-mini`

If the error says `insufficient_quota`, it’s a billing issue.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"Does the OpenAI API have a free tier for this course, or do I need to add billing first?","For the OpenAI API itself, there is **no free usage** in this context. If you see an `insufficient_quota` / billing error, you need to **add billing first** (pay-as-you-go, minimum $5).

That said, for the course **you do not have to use OpenAI** — you can use **free or low-cost alternatives** instead, such as Groq, OpenRouter, Gemini, DeepSeek, or local models via Ollama/vLLM.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
I see an 'insufficient_quota' error in Python — is this about my API key or my account balance?,"It’s about your **OpenAI account quota/billing**, not just the API key.

The `insufficient_quota` error means your account has no available credits or billing isn’t set up. The usual fix is to:

1. Add credits / enable billing in your OpenAI account.
2. Then, if needed, recreate your API key and update it locally.

So in short: **account balance/quota issue**.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
What should I check in my OpenAI settings if my request keeps failing with a 429 error?,"Check your OpenAI **billing/quota settings**:

1. Make sure you have **credits added** to your account (pay-as-you-go / at least $5).
2. Verify your **plan and billing details** in the OpenAI platform.
3. If you’ve added credits, you may need to **create a new API key** and update it locally.
4. Also ensure you’re using a **model available to your account** in `responses.create(...)`.

If the error says `insufficient_quota`, it’s a billing issue rather than a true rate-limit problem.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"After I top up my OpenAI account, do I need to make a new API key or change the model I use?","You might need to recreate your API key after adding credits and update it locally.

Also, make sure the model you specify is one that’s available to your account.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How much money do I need to spend to start using the OpenAI API for this course?,"Using the OpenAI API for the course should cost very little. You can start with a recharge of **$5**, and initial usage is usually **fractions of a cent**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Do I need to add a lot of credit before I can try the OpenAI API, or is a small recharge enough?","A small recharge is enough. You can start adding credit from **$5**, and the initial usage is usually just **fractions of a cent**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
What kind of cost should I expect when using the OpenAI API in the course assignments?,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, and initial usage is usually just fractions of a cent.

Also, you don’t need to pay for OpenAI API to complete the homeworks — free or low-cost alternatives are available in the course GitHub repo.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Can I get started with the OpenAI API by recharging only $5, and will that cover basic usage?","Yes — you can recharge starting from $5, and that should be enough for basic course usage. The course notes say usage is usually just fractions of a cent at the start.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Is the OpenAI API expensive for the course, or is the usage usually just a tiny amount?","It’s usually just a tiny amount. The course context says OpenAI API usage should cost very little, and initial usage is often **fractions of one cent**. You also **don’t have to pay for OpenAI** to complete the course homework, since free or low-cost alternatives are available.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Do I need to subscribe and pay for the OpenAI API to finish the course homework?,"No, you don’t have to subscribe and pay for the OpenAI API to finish the course homework. You can use free or low-cost alternatives from the course GitHub repo.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Can I complete the assignments without paying for OpenAI services?,"Yes. You do **not** have to pay for OpenAI services to complete the assignments.

You can use:
- free or low-cost OpenAI alternatives from the course repo
- other LLM providers
- locally run models like Ollama

So the course is **not tied to OpenAI**.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Are there any free or low-cost alternatives to the OpenAI API for this course?,"Yes. The course says you do **not** have to pay for the OpenAI API to complete the homework. You can use **free or low-cost alternatives** listed in the course GitHub repo, including OpenAI-compatible providers and locally hosted models.

Examples mentioned in the context include:
- **Groq**
- **OpenRouter**
- **DeepSeek**
- **Gemini**
- **Z.ai**
- **Mistral**
- Local options like **Ollama**, **vLLM**, or **LM Studio**

You can find the curated list here:
[OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives)

","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Where can I find the list of OpenAI API alternatives mentioned in the course materials?,"You can find it in the course GitHub repo here:

[OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives)","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Is it okay to use another LLM provider instead of OpenAI for the homework?,"Yes. The homework does **not** require OpenAI specifically — you can use another LLM provider such as Gemini, Groq, OpenRouter, Azure OpenAI, local models, or any other provider.

Just be aware you may need to adapt the code because response formats, tool schemas, and tokenization can differ.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Why does the course use uv instead of pip and virtualenv?,"The course uses **uv** because it’s **fast and convenient**. It’s an all-in-one tool that can replace **pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine**, so you can manage Python versions, virtual environments, and dependencies with one tool and reproducible lockfiles.

You **don’t have to use uv** — **pip and virtualenv still work fine** — but uv makes the setup simpler and faster, which is why the lessons use it.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Is uv actually replacing tools like pip, poetry, pyenv, and virtualenv?","Yes — in the course context, **uv is presented as replacing** tools like **pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine** as an all-in-one workflow tool.

That said, it’s **not mandatory**. The course notes say **pip and virtualenv still work fine**; uv is mainly used because it’s **faster, simpler, and more convenient** for managing Python versions, virtual environments, dependencies, and lockfiles.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Do I have to use uv for the course, or can I stick with pip and virtualenv?","No, you don’t have to use **uv**. The course uses it because it’s faster and more convenient, but **pip and virtualenv work fine** too.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
What makes uv better or easier for setting up Python projects?,"uv is better/easier because it’s a fast, all-in-one tool for Python project setup.

From the course context, it:
- replaces multiple tools like `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`
- lets you manage Python versions, virtual environments, and dependencies in one place
- uses reproducible lockfiles
- makes setup simpler and faster

You don’t have to use it — `pip` and `virtualenv` still work fine — but `uv` is more convenient for the course.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Does uv handle Python versions, environments, and dependencies all in one place?","Yes. `uv` is an all-in-one tool that lets you manage Python versions, virtual environments, and dependencies in one place.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Why does my Jupyter notebook still say OPENAI_API_KEY is missing?,"Make sure you installed and used `python-dotenv`:

```bash
pip install python-dotenv
```

Then load your `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in your `.env` file is exactly `OPENAI_API_KEY`.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Do I need python-dotenv to read my .env file in the notebook?,"Yes — in the course notebook, you need `python-dotenv` to load variables from your `.env` file.

Use:

```bash
pip install python-dotenv
```

Then in the notebook:

```python
from dotenv import load_dotenv
load_dotenv()
```

After that, you can read the key with `os.getenv(""OPENAI_API_KEY"")` (or whichever variable name you used).","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,"Call `load_dotenv()` **before** creating the OpenAI client, right after importing it:

```python
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(...)
```

The context specifically says to load the `.env` file in the notebook **before creating the OpenAI client**.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What should I check if the API key name in .env isn't being picked up?,Check that the variable name in `.env` is exactly `OPENAI_API_KEY`. Also make sure you’ve installed `python-dotenv` and called `load_dotenv()` before creating the client.,"Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I make OPENAI_API_KEY available inside Jupyter?,"Install `python-dotenv`, then load your `.env` file in the notebook before creating the OpenAI client:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv

load_dotenv()
```

Also make sure the key in your `.env` file is named exactly:

```env
OPENAI_API_KEY=your_key_here
```","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I keep my API keys in a .env file without pushing them to GitHub?,"Put your keys in a local `.env` file, load them with `python-dotenv`, and make sure `.env` is ignored by Git.

1. Create `.env`:
```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

2. Add this to `.gitignore`:
```gitignore
.env
```

3. Install and use `python-dotenv`:
```bash
pip install python-dotenv
```

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

If you want a cleaner workflow, you can also use `.env.example` in the repo with only variable names, and keep your real `.env` file out of GitHub.

","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
What’s the easiest way to read OPENAI_API_KEY and other keys from a .env in Python?,"The easiest way is to use `python-dotenv`:

```bash
pip install python-dotenv
```

Then load your `.env` file in Python and read the keys with `os.getenv()`:

```python
import os
from dotenv import load_dotenv

load_dotenv()  # loads .env from the project root

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

Make sure your `.env` file contains lines like:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
```

And keep `.env` out of Git by adding it to `.gitignore`:

```gitignore
.env
```","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
Do I need to install something before I can load environment variables from a .env file?,"Yes — if needed, install `python-dotenv` first:

```bash
pip install python-dotenv
```

Then you can load variables from your `.env` file with:

```python
from dotenv import load_dotenv
load_dotenv()
```

","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
Where should I put the .env file and what should I add to .gitignore?,"Put the `.env` file in your project root, alongside your code.

Add this to `.gitignore`:

```gitignore
.env
```

If you use `direnv`, also add:

```gitignore
.envrc
```

And for the course’s recommended setup, it’s a good idea to keep a `.env.example` in the repo with variable names only, but no secrets.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
"Can I use python-dotenv to load multiple API keys like OpenAI, Groq, and Gemini at once?","Yes. You can put multiple keys in the same `.env` file and load them all at once with `python-dotenv`.

Example:

```env
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Then in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_key = os.getenv(""OPENAI_API_KEY"")
groq_key = os.getenv(""GROQ_API_KEY"")
gemini_key = os.getenv(""GEMINI_API_KEY"")
```

Just make sure `.env` is added to `.gitignore` so you don’t commit the keys.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
"Can I switch to a different LLM provider for the homework, or do I have to use the one in the instructions?","Yes — you can use a different LLM provider. The recommended one in the homework is **not mandatory**.

You can use providers like **OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models**, or other OpenAI-compatible endpoints. You may need to adjust the code a bit for things like response format, tool schema, or token counting.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Is it okay to do the assignment with OpenAI alternatives like Gemini, Groq, OpenRouter, or Azure OpenAI?","Yes — it’s okay. The recommended provider is not mandatory, and you can use alternatives like Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

You may need to adapt the code a bit because response formats, tool schemas, and tokenizers can differ.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Do I need a paid API account to complete the Module 1 RAG homework, or can I use a free/local model instead?","No — you do **not** need a paid API account to complete the Module 1 RAG homework. You can use a **free/local model** or another provider instead.

The course explicitly says the homework is designed so you **don’t need a paid service**, and you can use options like:

- **local models** (e.g. Ollama, LM Studio, vLLM)
- **OpenAI-compatible providers** like Groq, OpenRouter, Gemini, Azure OpenAI, etc.
- other LLM providers if you adapt the code as needed

You may need to change things like the **base URL, API key, model name, and token counting**, since different providers use different response formats and tokenizers.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"If I use another model provider, what parts of the code might I have to change?","If you use another model provider, you’ll usually need to change only a few things:

- `base_url`
- API key
- model name

If you’re using a non-OpenAI provider, you may also need to adapt:

- the response parsing, since formats can differ
- the tools schema, if the provider expects a different shape
- token counting, because tokenizers vary by model/provider

For non-OpenAI models, the course notes also say to use the provider’s response fields for usage info, and in some cases switch from OpenAI’s Responses API to `chat.completions`.

","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
